Station;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee;174 Frankfurter Allee
Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon;Benzol;Toluol;Kohlenmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2023 00:00;54;37;14;16;38;40;0.9;0.9;0.2
01.01.2023 01:00;302;198;39;91;178;16;3.8;1.2;0.7
01.01.2023 02:00;89;55;18;14;40;33;4.3;1.7;0.3
01.01.2023 03:00;43;24;10;7;22;42;1.2;0.7;0.2
01.01.2023 04:00;29;16;9;2;11;45;0.5;0.6;0.2
01.01.2023 05:00;30;17;9;2;10;47;0.3;0.4;0.2
01.01.2023 06:00;25;13;8;2;10;47;0.3;0.4;0.2
01.01.2023 07:00;29;12;8;2;11;47;0.3;0.5;0.2
01.01.2023 08:00;26;11;9;2;11;45;0.2;0.4;0.2
01.01.2023 09:00;30;12;10;3;14;45;0.3;0.4;0.2
01.01.2023 10:00;25;11;7;2;9;46;0.3;0.4;0.2
01.01.2023 11:00;23;12;8;2;11;46;0.3;0.4;0.2
01.01.2023 12:00;17;9;8;2;10;46;0.3;0.5;0.2
01.01.2023 13:00;17;9;9;2;13;47;0.3;0.6;0.2
01.01.2023 14:00;17;9;11;3;16;47;0.4;1.0;0.2
01.01.2023 15:00;19;10;15;3;19;42;0.4;0.8;0.2
01.01.2023 16:00;20;11;18;2;22;37;0.5;1.0;0.2
01.01.2023 17:00;25;14;23;4;30;30;0.7;1.7;0.3
01.01.2023 18:00;38;20;46;32;96;11;0.9;2.3;0.5
01.01.2023 19:00;64;34;54;61;148;3;1.8;4.5;1.0
01.01.2023 20:00;63;38;52;28;94;2;2.7;6.5;0.7
01.01.2023 21:00;39;22;45;24;82;11;2.0;4.3;0.5
01.01.2023 22:00;26;14;32;9;46;22;1.1;1.8;0.4
01.01.2023 23:00;25;14;30;7;40;23;1.0;2.5;0.4
02.01.2023 00:00;25;14;27;9;41;23;0.9;1.5;0.3
02.01.2023 01:00;25;14;25;6;34;23;0.6;1.4;0.3
02.01.2023 02:00;24;13;16;2;20;28;0.6;1.2;0.2
02.01.2023 03:00;23;13;15;3;20;29;0.5;0.8;0.2
02.01.2023 04:00;22;12;15;2;18;30;0.5;0.9;0.2
02.01.2023 05:00;20;11;13;2;16;33;0.4;0.8;0.2
02.01.2023 06:00;21;12;27;7;38;19;0.4;1.0;0.2
02.01.2023 07:00;20;12;28;9;42;18;;;0.3
02.01.2023 08:00;22;13;27;12;46;22;0.6;1.3;0.3
02.01.2023 09:00;18;10;27;11;43;23;0.6;1.3;0.2
02.01.2023 10:00;20;10;25;8;38;27;1.5;1.0;0.2
02.01.2023 11:00;27;13;24;10;39;29;1.1;1.8;0.3
02.01.2023 12:00;23;11;23;9;38;33;0.7;1.5;0.2
02.01.2023 13:00;20;10;21;6;30;36;0.6;1.3;0.2
02.01.2023 14:00;20;11;21;4;28;37;0.5;1.0;0.2
02.01.2023 15:00;21;12;19;4;26;39;0.5;1.1;0.2
02.01.2023 16:00;22;11;25;8;37;34;0.5;1.2;0.2
02.01.2023 17:00;24;11;28;13;48;35;0.6;1.5;0.3
02.01.2023 18:00;15;7;33;17;59;40;0.7;1.3;0.3
02.01.2023 19:00;11;5;27;12;45;48;0.7;1.6;0.3
02.01.2023 20:00;11;5;30;13;50;44;0.7;1.7;0.3
02.01.2023 21:00;8;5;23;9;37;52;0.7;1.8;0.3
02.01.2023 22:00;10;5;27;13;46;48;0.6;1.5;0.3
02.01.2023 23:00;12;6;22;7;33;51;0.6;1.1;0.3
03.01.2023 00:00;8;6;16;4;23;55;0.5;1.0;0.2
03.01.2023 01:00;10;7;12;3;16;56;0.4;0.5;0.2
03.01.2023 02:00;11;7;13;3;18;54;0.4;0.6;0.2
03.01.2023 03:00;11;7;10;2;13;56;0.3;0.4;0.2
03.01.2023 04:00;9;6;11;2;14;58;0.3;0.5;0.2
03.01.2023 05:00;10;6;14;5;22;56;0.3;0.4;0.2
03.01.2023 06:00;12;7;25;10;40;46;0.4;0.6;0.2
03.01.2023 07:00;13;8;38;22;72;35;0.4;1.1;0.3
03.01.2023 08:00;13;8;48;39;108;24;0.6;1.2;0.3
03.01.2023 09:00;16;10;47;31;94;22;1.0;2.2;0.3
03.01.2023 10:00;17;11;41;30;86;27;0.8;1.9;0.3
03.01.2023 11:00;19;11;41;35;94;29;0.9;2.0;0.3
03.01.2023 12:00;18;10;39;29;83;33;1.0;2.1;0.3
03.01.2023 13:00;20;12;29;17;56;39;0.7;1.3;0.3
03.01.2023 14:00;20;12;29;17;55;40;0.6;1.2;0.3
03.01.2023 15:00;20;12;35;22;68;36;0.7;1.3;0.3
03.01.2023 16:00;23;13;53;56;138;23;1.0;2.8;0.5
03.01.2023 17:00;27;14;58;57;144;17;1.9;8.8;0.5
03.01.2023 18:00;31;18;54;36;108;16;1.5;4.4;0.5
03.01.2023 19:00;39;26;61;29;106;5;1.6;4.1;0.6
03.01.2023 20:00;40;26;61;28;103;2;2.2;5.0;0.6
03.01.2023 21:00;36;25;60;23;95;2;1.9;3.6;0.6
03.01.2023 22:00;37;26;54;18;82;2;1.9;3.2;0.5
03.01.2023 23:00;36;26;47;13;67;2;1.6;2.4;0.6
04.01.2023 00:00;31;22;43;15;66;5;1.9;3.0;0.5
